Formulation,Formulation_ID,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Form_comment
T0078_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,T0078_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0079_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,T0079_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0080_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,T0080_tong2025_peg_anchor_gbm_brain_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0081_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,T0081_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0082_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,T0082_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0083_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,T0083_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0084_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,T0084_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0085_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,T0085_tong2025_peg_anchor_gbm_siplk1_iv_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0086_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,T0086_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0087_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,T0087_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0088_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,T0088_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0089_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,T0089_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0090_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,T0090_tong2025_peg_anchor_healthy_brain_i_SM_102_NT1_O14B,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0091_han2026_brain_barcode_iv_lnp14_C14_306,T0091_han2026_brain_barcode_iv_lnp14_C14_306,45,16,36.5,2.5,DOPE,10,source-backed C14-306 formulation; 45:16:36.5:2.5 C14-306:DOPE:cholesterol:C14-PEG2000 molar; ionizable lipid:mRNA 10:1 w/w; IV FLuc mRNA 0.35 mg/kg; target=within-assay z-score of log2(fold vs SM-102); SNAP_265
T0092_han2026_brain_barcode_iv_lnp13_C14_306,T0092_han2026_brain_barcode_iv_lnp13_C14_306,35,16,46.5,2.5,DOPE,10,source-backed C14-306 formulation; 35:16:46.5:2.5 C14-306:DOPE:cholesterol:C14-PEG2000 molar; ionizable lipid:mRNA 10:1 w/w; IV FLuc mRNA 0.35 mg/kg; target=within-assay z-score of log2(fold vs SM-102); SNAP_267
